,Country,Total Cases,Total Death,Total Recovered,Active Cases,Serious Critical,Tot cases/1M pop,Deaths/1M pop,Total tests,Tests/ 1M pop,region,population,1 Case every X ppl,1 death every X ppl,1 Test every X ppl
148,Costa Rica,844892.0,8357.0,825599.0,10936.0,44.0,163207.0,1614.0,4163300.0,804220.0,North America,5176817.0,6.0,619.0,1.0
149,Latvia,811056.0,5695.0,791297.0,14064.0,14.0,438614.0,3080.0,7114713.0,3847596.0,Europe,1849132.0,2.0,325.0,0.0
150,Azerbaijan,792305.0,9704.0,782416.0,185.0,293.0128205128205,76910.0,942.0,6755203.0,655740.0,Asia,10301650.0,13.0,1062.0,2.0
151,Saudi Arabia,752188.0,9062.0,738011.0,5115.0,66.0,21024.0,253.0,41704690.0,1165666.0,Asia,35777569.0,48.0,3948.0,1.0
152,Paraguay,648446.0,18734.0,624673.0,5039.0,3.0,88971.0,2570.0,2615453.0,358857.0,South America,7288285.0,11.0,389.0,3.0
153,Myanmar,612460.0,19434.0,591139.0,1887.0,293.0128205128205,11124.0,353.0,7805688.0,141771.0,Asia,55058290.0,90.0,2833.0,7.0
154,Dominican Republic,578626.0,4375.0,574132.0,119.0,16.0,52406.0,396.0,3251191.0,294457.0,North America,11041303.0,19.0,2524.0,3.0
155,Bahrain,561525.0,1473.0,555813.0,4239.0,3.0,310815.0,815.0,9662134.0,5348183.0,Asia,1806620.0,3.0,1226.0,0.0
156,Moldova,515804.0,11474.0,502452.0,1878.0,47.0,128396.0,2856.0,3192777.0,794758.0,Europe,4017295.0,8.0,350.0,1.0
157,Libya,501834.0,6429.0,490837.0,4568.0,101.0,71310.0,914.0,2475203.0,351722.0,Africa,7037385.0,14.0,1095.0,3.0
158,Mongolia,469236.0,2177.0,313256.0,153803.0,192.0,139151.0,646.0,4030048.0,1195106.0,Asia,3372126.0,7.0,1549.0,1.0
159,Armenia,422711.0,8621.0,410387.0,3703.0,293.0128205128205,142179.0,2900.0,3005711.0,1010972.0,Asia,2973090.0,7.0,345.0,1.0
160,Oman,388763.0,4257.0,383809.0,697.0,5.0,72838.0,798.0,25000000.0,4683950.0,Asia,5337375.0,14.0,1254.0,0.0
161,Qatar,363139.0,677.0,361291.0,1171.0,1.0,129332.0,241.0,3419116.0,1217718.0,Asia,2807805.0,8.0,4147.0,1.0
162,Kenya,323588.0,5649.0,317801.0,138.0,293.0128205128205,5791.0,101.0,3557516.0,63668.0,Africa,55876000.0,173.0,9891.0,16.0
163,North Macedonia,308152.0,9256.0,297724.0,1172.0,293.0128205128205,147921.0,4443.0,1988999.0,954771.0,Europe,2083222.0,7.0,225.0,1.0
164,Albania,274320.0,3494.0,270474.0,352.0,2.0,95508.0,1216.0,1789363.0,622992.0,Europe,2872210.0,10.0,822.0,2.0
165,Nigeria,255633.0,3142.0,249825.0,2666.0,11.0,1188.0,15.0,4977858.0,23129.0,Africa,215217370.0,842.0,68497.0,43.0
166,Uzbekistan,238145.0,1637.0,236057.0,451.0,23.0,6937.0,48.0,1377915.0,40136.0,Asia,34331414.0,144.0,20972.0,25.0
167,Luxembourg,227528.0,1052.0,211131.0,15345.0,3.0,353261.0,1633.0,4195400.0,6513797.0,Europe,644079.0,3.0,612.0,0.0
168,Kyrgyzstan,200970.0,2991.0,196303.0,1676.0,131.0,29926.0,445.0,1907195.0,283998.0,Asia,6715512.0,33.0,2245.0,4.0
169,Iceland,183974.0,110.0,75685.0,108179.0,1.0,532980.0,319.0,1953616.0,5659702.0,Europe,345180.0,2.0,3138.0,0.0
170,Afghanistan,178295.0,7676.0,161417.0,9202.0,1124.0,4404.0,190.0,932483.0,23032.0,Asia,40486198.0,227.0,5274.0,43.0
171,Uganda,164024.0,3596.0,100200.0,60228.0,293.0128205128205,3395.0,74.0,2596017.0,53740.0,Africa,48306880.0,295.0,13434.0,19.0
172,Ghana,161086.0,1445.0,159607.0,34.0,1.0,4999.0,45.0,2429358.0,75386.0,Africa,32225569.0,200.0,22301.0,13.0
